video,frame_count,width,height,question,answer,qid,type,a0,a1,a2,a3,a4
5868055864,2308,640,480,how is the baby positioned in the video,0,1,DO,in the man s arm,sitting,on baby seat,standing,in the cradle
9186559718,379,640,360,what are the colourful objects in the bathtub with the baby,3,0,DO,duck toy,bathball,bathtub,toys,bird
4004287747,663,640,360,whose birthday are the people celebrating for,4,8,DO,lady in dotted shirt,man in red pants,rainforest rescue organization,man in green,the lady in black
3918022916,349,640,480,what are the boys wearing on their feet,3,3,DO,camera,playground,puppet,barefoot,paddle
2411016012,756,640,480,how did the people warm themselves in door,1,0,DO,keep jumping,thick clothing,lady open tap,covered with blanket,lean against wall
4828801987,2697,640,360,what occasion is going to happen,0,6,DO,music performance,birthday,prayer,dance,circus
3100579675,906,640,480,why are there two unused microphones placed on stage,0,3,DO,set up,so he can walk around while singing,filming the performance,project sound louder,watching the performance
5384013796,1042,640,360,how did the man protect his eyes,4,1,DO,blindfold,cover with hands,spectacles,thick binoculars,sunglasses
6215878304,1770,640,360,what is the animal,3,0,DO,elephant,crocodile,lion,dog,giraffe
4892615149,1657,640,360,what is the relationship between the baby and the boy,3,0,DO,father and child,teacher student,parent and child,siblings,parentoffsprng
4650318103,2440,640,480,what is the weather like,1,0,DO,sunny,raining,sightseeing,discussion,concert
4354621230,840,640,360,what are lying around on the beach,1,7,DO,forest area,stones and sand,fireplace,stroller,pram
2401079660,605,640,480,how did the man ensure that he could see the baby clearly,3,9,DO,by his hands around baby s back,turned the baby,control range,wear spectacles,moving backwards
3082591243,1893,640,360,what is the relationship between the two children,2,0,DO,classmates,friends,siblings,classmate,school mates
2469129438,897,320,240,what is the language of the lyrics shown at the beginning of the video,1,1,DO,korean,japanese,chinese,english,German
7691220406,549,640,360,what is the relationship between the people around the table,0,5,DO,collegues,friends,classmates,colleagues,siblings
4804501313,330,640,480,what distracted the boy near the end of the video,4,5,DO,a dog,concert,birthday cake,band members,man in white shirt
11278695216,367,640,360,how do the two children position themselves at the start,0,6,DO,standing,push with stroller,lying on floor mat,ride quickly,moving his legs
4809420567,889,640,480,what is the man making the kid hold onto,2,3,DO,bag,chair,rope,cap,pram
5573667855,662,640,362,what are the different colors of the balls floating in the pool,0,4,DO,red and blue,black,yellow,white,green
4245041172,503,640,480,what is the relationship between the boy and the baby,1,6,DO,parent and child,siblings,parentoffsprng,father and child,father child
9520717551,450,640,640,what is the lady in white wearing,1,0,DO,necklace,hat,headband,streamers,ribbons
7506103208,1284,640,360,what is the actress holding,3,5,DO,microphone,chair,singer,handkerchief,cake
7049300643,656,640,360,what is the possible relationship between the girl and the boy,1,5,DO,teacher student,siblings,colleagues,father child,mother child
4960594555,2276,640,480,what is the relation among the people in the video,3,9,DO,team member,friendsfamile member,family,colleagues,cilents
2583337639,739,500,375,what is the possible relationship among the three men,4,3,DO,trainer trainee,band members,parent offspring,team member opponent,friends
7055097657,1238,640,480,what colour is the man s suit,3,5,DO,purple,yellow,blue,black,white
4740183596,1223,640,360,how does the man at the shore feel,3,5,DO,enjoying,curious,interested,happy,worried
4571644750,1956,640,480,what colour is the shirt of the boy in the car,1,8,DO,blue,red,black,yellow,white
2617504308,1218,500,281,what happened to the plane at the end of the video,2,6,DO,soccer game,the trees,stuck on roof,phone,rock
2411858936,1404,320,240,which man reads out the book mostly in the video,4,6,DO,chalk,touch the screen,short guy,man in black,man in orange
5314486265,1050,640,360,what is the baby girl holding in her left hand,0,10,DO,feather,towel,water bootle,ball,bottle
5332533757,1351,640,480,how did the man in black protect his hand from injury,0,0,DO,gloves,wear hoodie,using helmet,spectacles,long sleeves
5845896914,1200,640,480,what is the relation between the child and the person in red,1,5,DO,blue,parent offspring,friends,school mates,orange
2582262079,765,640,480,what animal is shown in the video,1,8,DO,deer,tiger,lizard,camel,cat
5518571759,485,640,480,what is the man in white wearing on his head,2,0,DO,scarf,phone,cap,spectacles,camera
5518571759,485,640,480,what did the man in black jacket do,2,2,DO,tell stop camera,dance,take video,sleep,change clothes
7209064294,1170,640,480,what is the possible season then according to clothes they wear,3,3,DO,spring,autumn,winter,summer,fall
4932338665,621,320,240,which dog attacked first,4,8,DO,white and brown,white dog,crocodile,birds,black dog
8272757783,1006,640,426,what was the colour of the mattress sheet,3,7,DO,navy blue,light brown,black and white,red,pink and white
7032770353,762,640,360,who got off the trunk first,0,5,DO,man in grey,audience,boy in the middle,man in blue,man in green
3958650538,2187,640,480,what is the relation between the kid and lady,3,2,DO,teacher and student,lady is mother,sisters cousins,parent offspring,grandmother
2934685860,1164,640,480,what was the kid standing on at the start of the video,0,9,DO,grass,move body,chicken,birthday,birthday celebration
6594027277,1530,640,360,what type of event is occuring,3,5,DO,funeral,musical performance,rowing competition,friend s gathering,costume party
10129696053,372,640,360,what colour is the pole,3,5,DO,orange,light blue,white,yellow,green
3800324256,930,640,480,how did the boy keep himself warm,3,5,DO,winter clothing,socks,wear long sleeves,blanket,jacket
4664554429,1198,640,480,what is put in front of the girl in checked skirt,4,6,DO,silver box,toy,drink pack,bowl,birthday cake
12841519884,1555,480,640,what is the cat lying on,0,5,DO,chair,lap,adult,bird,plastic wrap
8882814466,2144,640,1138,how does the child protect his shirt from stains,1,4,DO,wear blib,bib,away from talbe,sunglasses,wear hoodie
2444569873,568,500,375,what does the man on the right do as the man in the centre turned around,2,6,DO,someone in the audience,team members,play his instrument,piano,sing
3480389765,409,480,360,how do the man on the left see clearly,0,6,DO,wearing spectacle,shirtless,move left and right,stand in a circle,sitting
6307939959,1098,640,360,how are the people in the video keeping themselves warm,1,8,DO,mask and sunglasses,wear thick clothes,beanies,winter wear,burning a fire
3390247475,857,384,288,what is the relationship between the people in the video,3,1,DO,band members,friendsteam member,friendsfamile member,team mates,seesaw
3233438837,1785,640,362,what is the relationship among the men on the stage,0,8,DO,colleagues,performers,dance group,friends,classmates
4272752509,737,352,288,what is the relationship between the baby and the girl in pink,2,8,DO,mother and children,mother and son,siblings,judge,offspring
7499375636,1600,640,360,how did the man on the motorcycle protect his head from injury,2,8,DO,thick gloves,hold onto cap,wear helmet,keep up with each other pace,cover with hands
5088084660,723,640,360,what is the possible relationship between the girl and the boy,3,2,DO,mother child,father and child,colleagues,siblings,teacher student
9345245716,486,640,360,what was hold by the man in white,2,10,DO,wii controller,toy dianasour,mobile phone,cap,bag
3737244927,2394,640,480,what was on the table beside the sofa near the end of the video,1,7,DO,airport,laptop,flags,turning on and off the shower,yellow
2873921227,1686,320,240,what was the baby wearing on his arm,2,8,DO,bowl,microphone,bracelet,parent and child,parent offspring
2602189569,458,640,480,who was interviewing these ladies,1,5,DO,centre boy and boy in black,getv,tourist,lady in scarf,girl with hoodie
5447249494,305,640,480,what colour is the man dressed in,2,3,DO,white,pink,black,blue,yellow
8727748794,2053,640,480,what is relationship between the kids,4,1,DO,siblings,friends,twins,colleague,classmate
4164627367,398,640,480,what is the possible relationship between the lady and the girl,4,7,DO,firends,team member,friends,colleagues,parent offspring
3972321905,547,640,480,what is the colour of the flag,1,9,DO,black,orange,lights,light brown,green
5465138661,936,320,240,how is the baby positioned in the video,2,0,DO,squating,carried by lady,laying on the mat,sitting in cot,standing up
6697646843,2100,640,480,what is the girl wearing,3,3,DO,boots,high-heels,slippers,covered shoes,sandles
3512107459,824,640,480,what are they taking from the billboard,1,8,DO,birthday celebration,a clue,puppet show,a small house,sunny
5609003294,1039,480,640,what is the cat perched on top of,0,0,DO,chair,table,sofa,cupboard,bathtub
9495169564,1920,640,360,is it safe for the child to sit facing backwards,3,6,DO,swing,horse,bowl,no may fall down,people
5149181269,978,480,640,what is sitting beside the baby,2,6,DO,car,blanket,soft toy,swing,piano
4380341072,2670,640,480,what is the role of the man who is reading from a piece of paper,0,1,DO,leader of the conference,wii controller,team members,provide information on displays,horseriding
3174267702,1977,640,480,what is the relationship between the two girls,1,2,DO,friends,siblings,colleagues,band member,sisters cousins
2513642763,2697,640,480,how did the man position his hands at the end,4,8,DO,use microphone,move handle,up down,hold it and demonstrate,next to baby
4391896358,650,640,480,what is the role of the lady in purple,4,10,DO,teacher,trainer,policeman,team leader,nurse
5252056583,486,640,1138,what was around the dogs neck,2,4,DO,cap,shower cap,leash,clothes,shoes
4337269702,1512,640,360,what is happening in the video,4,5,DO,cycling,friend gathering,wedding,dog fights with cat,playing with cats
11868361543,318,640,360,what method did the man use to play the guitar,2,0,DO,guitar,locate their destination,strum with hands,team members,colleagues
8329319376,2250,640,480,what is the lady in black holding,1,0,DO,a toy monkey,a coffee cup,bracelets,a ring,a present
8129714946,2427,640,360,what was the baby playing with,1,0,DO,giraffe toy,toys,rocking chair,bottle,flying machines
4870520876,1709,640,480,what is the relationship between the person spinning the pacifier and the baby,2,2,DO,classmates,team member,parent offspring,colleagues,teacher student
9127813899,621,640,360,what is the colour of the dog,2,5,DO,spot,yellow and blue,black and white,black,white
6440423935,339,568,320,what animal is shown in the video,4,3,DO,elephants,turtle,owl,swans,dog
2834058581,1173,500,375,how did the boy in grey kept himself warm,1,8,DO,cover his body fully,wore a jacket,shirtless,wear shoes,thick jacket
3304644092,928,640,480,what is the relationship between the lady and the man,1,4,DO,colleagues,couple,husband and wife,grandparent offspring,offspring
6102982194,1266,640,360,what are the relationships among the people playing instrument,1,5,DO,classmates,band members,father offspring,colleagues,team member
7403938330,1418,640,1138,what was the colour of the pillow at far end,0,8,DO,pink and white,lights,black,red,white
5645441722,1350,640,360,who gets up the stairs faster among the two children,0,10,DO,baby wearing bib,lady in scarf,boy wearing white,woman in black,cameraman
3374795103,1341,640,480,what colour is the paper that the lady in pink shirt is holding in her hand while speaking on microphone,1,3,DO,cyan,white,brown,pink,purple
2737632741,1017,640,480,what did the boy throw off the cliff,4,9,DO,dropped,bread,slippers,man in white shirt,stone
9630710974,2129,640,360,how is the girl in colourful dress positioned at the start of the video,0,7,DO,walk around,using hand gesture,jumps,talking,stand on chair
3480389765,409,480,360,what are the men s occupations,3,2,DO,security personnel,trainer trainee,direct the plane to park,coast guards,caretaker
10149779904,336,640,362,how did the two boys kept themselves warm,1,1,DO,beanies,jacket,beanie,wear more clothes,cover his body fully
2866935369,1138,640,480,what is the colour of the cup that was placed in the middle of the screen,3,7,DO,grey,orange,yellow and blue,yellow,pink and white
2662408932,1176,500,375,how did the man in black shorts protect his feet,1,0,DO,wear boots,slippers,position in front of fan,look up,socks
6416696985,741,640,360,how did the man in black kept himself warm,4,6,DO,wear light clothing,wear spectacles,wear sunglasses,shirtless,wear thick clothes
10173474874,300,640,480,who s hand is present behind the kids heads,4,5,DO,lady in white,guy in black,kids,someone in the audience,parent
3471734344,1230,640,480,what are the things on the table?,0,0,DO,books,diapers,food,television,clothes
6401260917,1366,640,480,what is the baby trying in the video,2,7,DO,playground,siblings,eat lemon,toy car,seesaw
3565727684,748,640,480,what is the animal shown in the video,3,2,DO,sheeps,fish,rabbits,monkey,cat
12546839623,2625,320,240,what colour is the shirt of the lady at the back,0,5,DO,purple,pink and white,white and red,white and brown,blue
4218860890,1875,640,360,what is this video about,4,9,DO,birthday celebration,music performance,dance,cycling,wedding
