video,frame_count,width,height,question,answer,qid,type,a0,a1,a2,a3,a4
7417682572,1816,640,360,what does the man playing the drums do with his feet as he plays the drum,1,2,TC,look through the box,moves his feet,smoke,walk around the hoop,cap
2400987326,2576,320,240,how is the man in grey plaid shirt feeling while talking at the start,4,5,TC,worried,terrible,curious,frightened,happy
8903248754,551,640,360,what is the other boy doing while the boy with green shorts jumped at the end of the video,3,7,TC,catches it back,lean over to man,throws the ball,looking at the boy,fold his arms
4567287291,1748,360,480,what is the person on the bed doing as the baby plays,4,2,TC,lying,standing and moving hands,takes support,happy,sleeping
5379354799,1467,640,1138,what did the lady do when they reached the bush,0,6,TC,point at pumpkin,let go of balloon,reach her hand out,point at camera,pat dog s head
5085607670,1830,640,360,how do the people on stage react when the lady in green makes a dance move,0,4,TC,followed her dance steps,smile,touch their hair band,lie on floor,move away
2549562657,884,320,240,how is the baby in blue shirt positioned,1,5,TC,heat up metal,sitting,standing,sitting at the sofa,throw away the blue toy
4527426680,592,640,360,how does the girl react while watching the blanket,4,9,TC,walk away,bend down,show his bottle to camera,relaxed,laugh
8748339924,490,640,480,what does the pig on the outer left do in the middle of the video,0,0,TC,walk away,move,shake itself,go back,follow the hand
8290475933,870,640,360,how did the man position his hands while speaking,3,8,TC,hold the microphone,put into pockets,push the trolley,hug the lady,strum the string
12464813773,1299,640,360,what is the pink colour board the pink girl is holding for,1,1,TC,swinging her arms,sleigh,smiling,look back,happy
3537017298,963,640,480,what activity is being carried out,1,6,TC,fencing,eating,printing,presentation,woman talking to the crowd
5996570774,728,640,360,how is the woman feeling while playing with the girl in grey,0,8,TC,bored,embarrassed,scared,enjoyable,blessed
6247230354,2370,640,480,what are the people doing in the video,3,10,TC,paragliding,playing guitars,climbing tree,trekking,buying drink
9069281283,303,640,360,what did the man in black do as the man in brown walked up the stairs,1,1,TC,eat the jelly,watch him,camera,happy,look towards the man speaking
7722027264,1658,640,360,what was the groom doing when the bridge was giving her speech at the beginning of the video,2,11,TC,run,pull skirt up,looking at bride,pretend to punch him,get out of car
8655296645,1425,640,360,what does the lady in brown skirt do while the lady in jeans disappears from the video for a while,4,8,TC,lean to the side,claps,look at ground,get in the pool,play with baby
2482994684,1284,500,283,what does the boy do when he first stretched his hand forward to the table,0,3,TC,put the class down,go behind the purple pillar,look back,talk to boy,look at the laptop
5309902755,2052,640,480,what is the girl in white doing while the girl in black plays the violin,3,6,TC,dancing,look down,hit the drums,sitting on sofa,hula hoop acrobatics
3954996353,1534,640,480,what does the man in white do when he walks onto the stage,4,0,TC,sing,stares,pass paper to woman,does hand gesture,clap hands
4435031690,993,640,480,what does the man with the camera wear on his head,2,1,TC,swimming cap,singing,helmet,bandana,sun glasses
3633333753,1197,640,480,what does the man with a cap who is seated down do with his hands near the end,3,4,TC,talk,hand gestures,arm rest,pointed to the sea,looks upward in surprise
4682821606,1002,640,360,what roles do the man in the plan shirt and the man in green play in the activity,2,2,TC,stand there,holding man in black,guide the tractor,swinging,construct toy structure
