video,frame_count,width,height,question,answer,qid,type,a0,a1,a2,a3,a4
3238737531,2303,640,480,how many children are in the video,3,2,DC,one,three,seven,two,five
5699224686,2697,640,480,how many animals are involved in the video,4,9,DC,five,four,one,three,two
4542653205,1176,640,360,how many operators are present in the video,3,8,DC,six,eight,two,three,four
2801868426,1313,500,282,how many people are cycling,2,1,DC,eleven,four,three,one,two
3837320324,839,320,240,how many people are involved in the video,2,10,DC,one,six,two,three,five
4227122551,756,320,240,how many people are involved in the video,2,11,DC,four,five,three,two,one
2612683715,606,640,480,how many people are there,1,4,DC,eleven,two,four,six,one
7958865658,2682,640,360,how many cats are involved in the video,2,5,DC,three,one,two,five,four
8670554760,332,640,360,how many goalkeepers are involved in the video,3,7,DC,five,six,three,one,four
4410543060,2550,640,480,how many times did the boy raise his hands out of excitement,4,12,DC,twice,two,three,four,six
4650584618,540,640,480,how many people are there,4,5,DC,five,one,four,six,three
5722872813,1836,640,480,how many people are involved in the video,2,9,DC,four,five,two,one,three
2610839960,2158,320,240,how many people are there,3,9,DC,six,five,seven,four,two
4085549820,2250,640,512,how many cars are involved in the video,4,9,DC,four,twelve,six,five,three
3233438837,1785,640,362,how many men in the group,3,10,DC,three,two,nine,four,six
6290415351,1491,640,362,how many cars are competing,1,9,DC,five,two,eight,six,four
10871643364,1352,640,360,how many people are there in the room,3,11,DC,seven,five,four,six,eight
6068292020,2697,640,480,how many people can be seen,4,9,DC,five,eleven,four,three,six
2694427613,1923,500,375,how many people are filmed in the video,0,7,DC,four,one,eight,six,five
12165974504,1379,640,360,how many people are there in the room,2,10,DC,five,four,two,one,seven
5875494562,995,640,480,how many people are involved in the video,3,9,DC,six,five,two,one,three
9577659959,1126,640,360,how many people were discussing at the computer,1,9,DC,six,three,seven,eight,one
12475322753,1734,640,360,how many people are geared up for this activity,4,8,DC,eleven,six,seven,two,four
12882038053,861,640,1138,how many adults are in the room,1,11,DC,eight,two,one,seven,six
3217749642,2697,640,352,how many dogs were filmed in total,2,9,DC,one,two,four,six,three
6314990660,1866,640,360,how many children are there in the video,1,0,DC,three,two,five,six,four
3272428851,2197,640,480,how many people are hanging out,1,8,DC,thirteen,four,eight,three,eleven
5092364159,2697,640,480,how many people are there in the video,3,8,DC,five,thirteen,seven,two,three
4866672246,1260,640,480,how many dogs are presented in the video,0,0,DC,five,one,three,four,six
4495207281,777,360,480,how many children are there,4,2,DC,six,four,two,three,one
3894379966,1683,640,360,how many people are involved in the video,1,11,DC,four,two,six,three,one
4859211556,437,320,568,how many children are carrying the keyboard,1,0,DC,two,five,one,nine,three
7445617208,2697,640,360,how many performers are involved in the video,0,9,DC,four,six,five,one,three
3477001385,2098,640,480,how many people are involved in the video,1,13,DC,three,two,one,five,four
2571487892,2158,320,240,how many musicians are there on stage,1,10,DC,five,four,nine,two,six
5461088507,1464,640,480,how many childen are there,2,9,DC,six,two,three,one,nine
