video,frame_count,width,height,question,answer,qid,type,a0,a1,a2,a3,a4
3229982634,885,640,480,where is this video taken,0,8,DL,house,kitchen,stage,ballroom,train
6217597005,1333,640,360,where is this video taken,4,5,DL,playground,sea,zoo,boxing ring,road
9337790459,811,640,360,where is this video taken,0,4,DL,garden,field,dinning table,along the streets,lake
7843288978,2697,640,480,where is the boy projecting his photos on,4,9,DL,wall,table,beach,floor,screen
3552516882,412,480,640,where is this place,3,7,DL,bus terminal,outdoors,kitchen,house,waterfall
2399344595,2280,500,375,where is this happening,2,11,DL,karaoke room,hiking trail,kitchen,cycling trail,room
2782675613,800,640,360,where is this happening,0,5,DL,near a lake,outdoor,in the sea,river,trail
6096540713,2697,640,360,where are the people attending the event,4,10,DL,dance hall,office,grassland,bedroom,classroom
2909445186,916,640,480,where could this be happening,4,11,DL,garden,living room,farm,shop,outside the house
6512025357,2510,640,1138,where is this happening,2,9,DL,classroom,roadside,kitchen,by a lake,work place
4752875872,1559,640,480,where is this happening,0,8,DL,backyard,in the day,room,bus,swimming pool
4571054955,719,320,240,where is this video taken,0,6,DL,in house,park,train,dining table,dinning table
5630978721,659,640,360,where is this happening,2,9,DL,outdoor,hospital,living room,bowling alley,trail
8749201145,630,640,360,where is this video taken,4,5,DL,dancing hall,backyard,on the plane,dinning table,kitchen
8155669421,391,640,360,where are the cats hanging out,4,1,DL,on a pillow,from tap,mat,backyard,house
8095838321,326,640,360,where is this happening,0,9,DL,playground,footpath,on the road,hiking,in the day
3388614426,1263,640,480,where is the marriage ceremony taking place,3,4,DL,bedroom,garden,house,on a cruise,in the house
6882604194,1927,640,360,where is the dog lying,2,0,DL,water,ocean,grass patch,sea,boat
7931679102,1708,640,360,where is this place,4,6,DL,living room,theatre,dirt field,their house,river side
3483499992,1422,640,480,where is this video taken,2,8,DL,snow mountain,home,living room,front porch,park
5761415508,1369,568,320,where is the cat lying,2,5,DL,chair,on her hand,ledge,kitchen,on the bed
5192910012,810,640,480,where is the boy hanging out,1,6,DL,fountain,backyard,room,footpath,forest
2404094215,1901,640,480,where is this video taken,1,6,DL,studio,forest,sheltered area,dining table,playground
