video,frame_count,width,height,question,answer,qid,type,a0,a1,a2,a3,a4
3359322044,908,320,240,where did the man in grey rest his hand before he started walking forward,0,4,TP,tree,on his knees,at his chin,against wall,on the wall
3208857440,1624,640,480,did they wrap the hamster before burying it,3,3,TP,play with the other cat,runs away,went under sofa,no,shock
8626931151,2160,640,360,what was the kid doing before he flipped the pages of the book,4,5,TP,flip the book,turn behind to look,look at camera,hold the book in his hands,puts his hand into the robe
2406339050,2380,500,375,what did the baby do before she put the green long toy in her mouth at the middle of the video,4,5,TP,look at ground,look upwards,extended their hands,laugh,put it on the walker
4809420567,889,640,480,what did the baby do before touching the pink toy at the end of the video,4,6,TP,hit the air,grab lady s hair,talk and eat lollipop,take photos,lift head up
10192494165,700,640,360,what was the girl doing before she lifted the book to her face,4,5,TP,stop and look,spin in circles,close it,show the shoes,open a pen
3954996353,1534,640,480,what does the man in red do before the man in white cut the ribbon,3,2,TP,jumps,take photo,follow her instructions to sit,count down,put pieces on the board
6894565761,1637,640,362,what did the boy do before the girl reached her hand out in the middle of the video,4,9,TP,hand gesture,close eyes,lift the club up,sit on man and play toy,scratch eyes
6591681113,834,640,360,what did the boy with green car do before he pushed his car the second time,4,2,TP,put it in the box,adjust it straight on the floor,adjusting car,offers to carry girl in red,pull his pants
2450539954,979,500,375,what did the other lady do before the machine changed direction,1,2,TP,looks forward,stop moving,smiling,walk on another direction,hold the girl s hand
8395915736,2460,640,360,what did the nurse do before she clipped the umbilica cord,3,2,TP,put on headphones again,walked towards the table,look at the clock,cut the cord,take a big breath of air
4825249972,926,640,360,what did the brown dog do before it started chasing the cat,2,3,TP,climbing over it,lying down,jump on the sofa and bark,sit and watch,walk back
2598708157,1450,320,240,what does the girl in blue do before walking away,3,2,TP,stand beside and look,lean to the side,pointed at baby,watch the boy in orange,moving her spoon slowly
7499375636,1600,640,360,what did the man in black at the back do before the man with black and green helmet drove away,1,6,TP,looking at them,step back,adjusting helmet,driving off,raise his hand out the window
7533973826,536,640,360,what did the woman do before she let go of the boy cycling,2,6,TP,move forward,sit on sofa,hold his hands while pushing him,stop riding,look at girl
4144360777,720,640,480,what did the girl in striped do before going up the sofa,1,6,TP,pet,walking around the table,lie on her stomach,playing with sofa,hold another toy
4043945951,1254,640,480,what was the boy in red doing before he showed the phone to the camera,2,0,TP,fires it off,float on bed,calling,read books,push backwards
4569009647,2437,640,480,are the people discussing before going for a hike,0,3,TP,yes,type on her laptop,cover face with hands,goes to the menu,start performing
6813862571,1755,640,360,what did the man in green do before he fired a shot,1,2,TP,scream,aim at target,talk,get off stage,choke
3093627135,1252,640,480,what did the girl in pink do before she stood up at the end of the video,2,6,TP,look at boy,turn around,looking at present,closes the lid,touch baby lips
2797596111,2158,640,480,what did the boy in black do before he started singing at the beginning of the video,2,6,TP,drink from it,pick little boy up,plays the guitar,looking at toy on ground,throw it at dog
5837297505,801,640,480,what did the main singer do before he left the stage at the end,1,8,TP,singing,take something,clap,hold poster,plays the guitar
11162473963,1104,640,360,what did the boy do before the girl popped up from the leaves at the end of the video,2,10,TP,opens it again,whisper,tries to find girl and fell,eat,looking at toy on ground
3427096115,1171,640,480,what did the man wearing a cap at the back do before the baby stood up,2,3,TP,jump up,run,play with baby s hand,throw sand,clap
7499375636,1600,640,360,what did the man with black and green helmet do before he drove off,0,4,TP,move his legs,put hands in the mouth,lean over to man,cross the road,move to slide
4904919958,2697,640,480,what do the men do before starting to fight,2,5,TP,pray and bow,dance battle,bow,bend down and touch the woman s back,hug and dance
3036261707,1476,320,240,where is the boy touching before he started dancing,1,4,TP,touch his head,stomach,clap,tired,start dancing too
2454809212,1309,320,240,what does the man with the flower badge do before putting it on the groom at the start,3,0,TP,smiling,standing facing the pastor,sway his body,look at flower badge,looked at camera
6241168740,881,640,360,what did the black dog do before it followed the woman at the end of the video,2,5,TP,licking itself,sniffing ground,run in opposite direction,watch the brown cat,look at plant
3565236462,694,640,474,what does the man in white do right before the man in brown lifted the snake,0,9,TP,walks away,put the knife in the cake,sit down,point and talk,help man in white with tie
2593165277,2270,320,240,what was the baby doing before the dog approached,0,10,TP,looking left and right,ignore baby,stretch out his hand,train the dog,push walker
2848566825,300,320,240,what did the girl do before the lady smiled at the end of the video,2,4,TP,bounce while carrying baby,put the box aside,makes faces,run away,eat ice cream
5295188880,1361,568,320,what was the man doing before the lady in black came,3,6,TP,catch the ball,dancing,stare at the screen,play with dog,grooming himself
3988584418,2697,640,480,what does the girl with headband do before walking away in the middle,4,4,TP,rest on chair,leash,take the leaves to play,turn her front,kiss the boy
9778931443,586,640,360,where did the boy put the silver toy before he tried pressing the keys with his finger,1,8,TP,on the floor,in his left hand,on the plate,beside the railings,on his cheek
2702145478,1381,640,480,what did the man in orange vest and black pants do at the end of the video before he walked away,3,6,TP,climbed onto the bounce house,put finger in the mouth,observe,watch for explosion,hold the lady s hand
6131518130,384,640,360,what did the girl in yellow do before falling backwards to the pool,4,6,TP,throw and catch towel,hand gesture,pick up toy,touch the chair,look at water
3689483847,550,640,480,what was the boy doing before he stood up at the start,4,3,TP,clap,swing the dog,look at camera,walked away hurriedly,look back
6844035756,1605,640,362,what happened before the third duck walks into the video frame,2,1,TP,a boy catches ball and brought it back,a man pressed a button,camera flash,the rope broke,the other ducks looks down
3396669412,639,640,360,what did the lady do before putting her hands behind her head,0,3,TP,raise her hand,caressing for the dog,put down her club,put her hands under child,pet dog
2679578550,911,500,283,what was the boy doing before he walked away,3,8,TP,carry plate,chase,follow boy,sitting on the sofa,adjust the tricycle
11863005164,1608,640,360,judging from the low ice ceiling what sort of landform did the cameraman walk through before joining the group,4,2,TP,flattens,walk opposite direction,carry the ball on the other side,bend down,ice arch
3736610392,903,640,480,what did the hamster do before it came out from the green bowl,3,4,TP,turn on the wand,the lady sitting down,drink from water bowl,resting,crawl in sofa
4333253921,472,640,360,what did the adult do before he tried pushing the dog s head away,3,9,TP,looking at the baby,follow man,chasing its tail,caress dog,play with the blanket on the floor
5817155547,351,640,360,what was the man in black cap doing before moving off at the start,1,5,TP,hold on rod,hands on thighs,cutting woman s hair,opening his bag,gets back to bed
5954391577,392,640,360,what did the man in black do before catching the ball at the end,3,6,TP,runs toward the ball,hold it back,turn behind,walk forward,pat man in grey
5199542985,387,320,240,what were the chickens doing before the man threw the egg,4,6,TP,put in basket,move away,shake the dice,look around,walking at the back
10602702615,987,640,360,what does the girl in pink do before blowing the candles,0,7,TP,look at boy,smile,watch,held her arm,waves
2463650304,2333,320,240,what did the woman in black do before the person wearing blue sleeves touched the baby,3,8,TP,holds the baby,keeps it back,pushed lady in black away,touch baby s feet,run
11585587124,1650,640,360,what did the lady do before she started running at the beginning of the video,0,7,TP,put the dog down,sit on man and play toy,pick up something,step on the books and dance,pick up toy
3052493751,663,500,375,what was the lady doing right before she turned in circles at the end,0,4,TP,dancing backward,thumbs up,hold baby,walk around it,talk to girl
5106055789,2158,640,480,what did the girl in black do to the toy horse before she started exploring the guitar,0,7,TP,put the toy horse down,look for it,pluck woman s brows,pull the leash,wave
8062483459,435,640,480,what did the man in blue do before posing at the end of the video,0,7,TP,moves his hand,walked out of video,kicked ball,walk forward,start writing
7173974984,1018,640,360,what did the man do before he stood up in the middle of the video,1,6,TP,sitting,hold the leash and pat dog,point at the door,point to store,sing
3899705145,675,640,480,what did the man in yellow do before he rolled down the hill,0,9,TP,pass the lady his things,ride it down,starts moving,give instructions,look at yellow car
6813862571,1755,640,360,what was the man in green doing before he turned to the man in black,4,9,TP,jump over him,point middle finger,flirting with girls,talking to santa claus,preparing to shoot
4533057354,978,640,360,what did the woman in black do before she walked off at the start,2,7,TP,walk forward again,hit the girl,pulling girl in sunglasses s hand,claps for her,points at the door
10676920593,3374,640,480,what did the baby do before the man lifted him to stand up,3,3,TP,walk to the sea,kiss,walks forward,put spoon into mouth,play with his toy
2564866084,1520,448,336,what does the girl do right before she jumped off the guitar,2,3,TP,ran back,try standing again,bend body,hold the mans hand,turned behind
5343618331,751,640,480,what did the man do before he reversed back,2,2,TP,leave the rope,adjust tyre,look around,wave at girl,wave arms around
2610839960,2158,320,240,what does the man in black do before the ladies start fighting,3,0,TP,look behind him,observe,signal to separate,wear her boxing gloves,control the ball
6811493102,1052,640,480,how did the dog react before the child throws the ball for fetch,1,9,TP,hit with racket,steals the ball and goes away,shake its body,jump towards the child,move away from ball
2448077748,2697,640,360,what does the lady do before standing still at the front part of the video,4,1,TP,walk off,walk away from the table,waggling,restless,dancing
3266500980,2666,640,352,what did the man do before the dog put its head under its paws,4,7,TP,scratch body,lie down,eat the food,looking at the baby,caress the dog
6384706009,1633,640,360,what was the boy in yellow doing before he cycled off near the middle,2,0,TP,jump into a pool,dancing,staring at girl,pressing the chords,walk towards camera
3343411237,927,640,480,what was the boy doing right before the second wave hit him,1,5,TP,catch it,paddling the board,stretch his hand out,moving fingers,go forwards
5292466003,2697,640,480,what did the lady with long hair do before she slide off,1,5,TP,go back up,tie her hair,stop running,jump around,dance
3427508686,2697,640,480,why did the man dressed in suit attire on the right stood up briefly before sitting down again,4,1,TP,walk,looking at them,sway body,sit and listen to him,adjust sitting position
3420639395,451,320,240,what did the woman do before she picked up the board at the end of the video,2,9,TP,dance with hands,touch baby,stand up,touch the child s head,said something
9201656937,1081,640,360,what does the black rabbit next to the two brown rabbits do as the person caress the two brown rabbits before the middle part of the video,2,9,TP,move his hand to feed the cat,plates,eat grass,bounce baby,stand around watching
6814193738,1204,640,360,what did the lady do before walking across the grass in the middle of the video,2,0,TP,turned behind,sit down on toy,raise up her hands,plays with him,looked at camera
4747203885,1732,640,480,what did the ladies in red do before they open the cork from the bottle,4,7,TP,move the yellow bowl away,eat fruits,turns around and cover face,carry baby up,shake the bottle
4026507608,1337,640,480,what did the woman in white do before letting go of the boy near the end,2,5,TP,kneel down,catch baby,adjust trolley,push her,pick up baby
2610839960,2158,320,240,what did the lady in black do before she started fighting again near the end,0,7,TP,hold the pink lady with her arm,follow the girl,make hand gestures,look at the lady in red,point towards the board
3555283857,1271,640,480,what does the girl with spectacles do before putting the microphone back on the stand,1,6,TP,laugh,speak to the audience,flip the page,move wire,hug the other girl
3066966990,2678,640,480,how many tries did the first boy have before he successfully hit the pinata,4,9,TP,remove spectacles,towards camera,press buttons on drum,walks away,two
5760068749,687,640,480,what does the boy do before feeding himself near the end,2,2,TP,take off  the lid,raise fork and spoon,make funny faces,touch camera,plays with red toy
3661204299,628,640,480,what position was the man surfing at before he fell into the sea,4,7,TP,sit down,feed,continues paddling,surfing,squatting
5680168187,1194,640,480,what was the man on the boat doing before the man in sea play a prank on him,3,2,TP,runing,put hamster into a pit,copy lady s action,resting,paddling
6844035756,1605,640,362,what did the black duck do before taking every step,3,9,TP,swim away,pass on the arrows,start running faster,swing its tail,bite it
7180987582,1314,640,360,what did the girl in pink do before the woman in black took off her shoes at the end,1,10,TP,taps water with her foot,walk towards woman,bend down,remove the paper too,make more bubbles
3305246083,2697,320,240,what did the woman in grey hoodie do before she put down the paper near the start,2,8,TP,walk away,go into the building,refer to the paper,put it somewhere else,talk to the man in black
2695848772,2676,500,375,what does the girl do before starting to play,3,1,TP,looking at book,stretch hands ouy,playing with toys,bow,skiing
8039477324,1506,640,480,where did the girl on the left touched before she closed her eyes with her hands,1,9,TP,pumpkin,chin,on the sticks,something behind the camera,other side of table
4164771532,756,640,360,what was the man doing before he sat down,2,5,TP,changes direction,feed baby,placing the bike,moving his hand,play guitar
6890574486,936,640,424,what was the lady doing before she looked up in front of her,4,5,TP,applying cream on face,playing tablet,singing,move closely to the camera,looking down at piano keys
3369571916,1970,640,360,what did the baby do before blowing out the candles,0,5,TP,touch cake,put the candles down,look at it,baby clap hands,looks up
2404094215,1901,640,480,what did the lady in orange do before she started walking,0,8,TP,drink water,pick up the microphone,stop and point,reach hands out,kiss the boy
3199291548,720,640,480,what did one of the machines do before it hit the books,4,2,TP,shift the paper,hold in his palm,dig deeper into box,puts his hand into the robe,move backwards
4487391149,2697,640,480,what was the girl doing before she squatted down the second time,3,7,TP,look down,hug the lady,pet dog,studying the screen,dance
