video,frame_count,width,height,question,answer,qid,type,a0,a1,a2,a3,a4
8968804598,332,640,360,why is the blue sweater guy looking at the shirtless men,4,0,CW,sharing with his friends,found the man funny,poor vision,keep hands warm,training
2617504308,1218,500,281,why does the man have to throw the plane first in the middle of the video,3,3,CW,chase the ball,the toy car hit the wall,put on earmuffs,get it start flying,bounce baby on cushion
10521491465,1735,640,360,why is the panda on the grass brown,1,4,CW,to sit up,dirty,prevent it from escaping,get dirt off,resting and eating
4177168857,1389,360,480,why did the baby grab the man s ear and hair,1,1,CW,to sing,play with the man,stabilize the baby,wave the horse,want to play
3136982378,1294,640,480,why are there people surrounding the two people fencing,2,7,CW,guide,performing,watching them,play for fun,to maintain the distance
4729027639,2161,640,480,why did the lady in white approach the girls on stage in the middle of the video,3,3,CW,asked her to stand in position,for fun,holding dog leash,point into the booklet,talking about the white bottle
6102982194,1266,640,360,why does the man playing the white guitar go near the man playing the keytar,2,2,CW,want to talk to him,make music,to energise him,want to hit him,to annoy him
8364779007,1457,640,360,why does the boy in red turn around after getting out on the grass at the start,3,7,CW,to see if there is anything,to get onto table,failed at goal keeping,to look at camera,wait for people behind
5319843668,1417,640,360,why are there flashes of light when the children are playing in the boxes,0,1,CW,camera taking photo,guide the direction,shine brightness,start of the gane,part of performance
9177467036,648,640,360,why did the man wear hat while riding the horse,1,2,CW,conversing with them,part of the outfit,support woman,to move it,give good performance
10745999374,3217,640,360,why does the toy sword start blinking in the middle of the video,0,3,CW,boy in red turn it on,ball rolling away,road bumpy,get cat s attention,finished playing till that page
8319941339,318,640,1138,why does the boy cross his legs on the bed,1,7,CW,resting,put keyboard on his lap,wants to get on the bed,point to the video recorder,follow the instructions
2927552798,780,500,375,why did the man in stripes put on his jacket at the door,0,2,CW,look cool,prevent it from falling,for fashion,protect from sun,feeling hot
6083954222,2642,640,1138,why did the boy in orange hold a ball on his head,1,4,CW,to aim at hoop,want to throw the ball,hitting the blocks,part of performance,pose for photos
2857624971,780,320,240,why are there bubbles coming from the divers mouth,2,6,CW,fell off their jetski,resistance from water,oxygen,beach,they are breathing
6349106171,1780,604,1072,why are the men squinting their eyes,3,2,CW,stage light too bright,underwater,to pose for pictures,sunny,in spectacles shop
5721638917,1279,640,1138,why was the dog waiting at the other side of the room near the middle of the video,2,9,CW,looking for food,waiting for frisbee game,waiting to fetch ball,waiting for sheeps,waiting for another dog
12031151404,608,640,1138,why did the guy put his left leg on the steps,2,2,CW,play game,as support,posing,try to kick her,pedalling bicycle
2640440327,552,320,240,why did the lady on the right look away at the end,1,5,CW,speak to all audiences,laugh,watch for girl in pink,play with things on floor,looking at tickets
6595307655,1170,640,480,why is the lighter brown dog lying on the floor at the start of the video,2,4,CW,imbalanced,sniffing the ground,playing,waiting for treats,playing with sheep
3866633650,729,640,480,why did the boy in pink towel hit the sand on his leg with the spade after putting sand on top,3,2,CW,remove the sand,moving with the rhythm,to return ball to thrower,stablize the sand,makes boy happy
5585306763,1157,640,360,why was the bald headed man unable to catch the ball after the the boy with red pants threw ball,0,5,CW,throw too high up,not ready for the game,to defend his team,ball was thrown to another side,hands were occupied
13559530235,1290,640,360,why are there wires connected from the picture to the laptop,3,4,CW,focused on the game,nobody using currently,test duration of computer setting up,show the picture from camera,recording time
5465138661,936,320,240,why does the girl in jeans bend down at the start of the video,3,1,CW,dance move,prevent jeans from getting wet,tired of bouncing,play with baby,pick up snow
9566614158,687,640,1138,why does the man in black walk back towards the end,0,5,CW,someone asked him to do that,looking at the structure around,stroke the dog,avoid the cold,check on child
3396663702,529,640,474,why does the baby keeps moving his hands and legs after falling,2,2,CW,move closer to him,play with the toy,fidgeting,sleepy,new to walking
9338319433,780,640,360,why did the men wear helmets,3,0,CW,flying fox,playing baseball,skateboarding,working,cycling
8968804598,332,640,360,why are the men walking in synchronisation,0,1,CW,exercising,found what he wanted,prevent falling off,not part of the group,performance
