video,frame_count,width,height,question,answer,qid,type,a0,a1,a2,a3,a4
7093500213,1110,640,360,what does the man in checkered do after walking onto the stage with microphone stands at the start,1,6,TN,bow to people,set up the stand,take away the stand,takes out some paper,hands him a bottle
4597414801,2697,640,480,what does the lady do after shaking her body for a while in the middle,0,7,TN,pet the cat,let go of cat,went upstairs,play with dogs,continue cycling
2934685860,1164,640,480,why did the woman walk back towards the stroller after the kid moved away from the fence at the end,4,11,TN,ignores,follow girl in pink,hold hands and move in circles together,kiss the boy,to push stroller
5680168187,1194,640,480,what does the man on the boat do after getting up,0,8,TN,strokes his beard,stand up,move backwards,pull it up,speed up
4400119620,480,640,360,what did the man in spectacles do after the couple linked arms,2,5,TN,start writing,hands him a bottle,gesture for them to move forward,turn back,start performing
2622813876,915,640,480,what does the baby do after the adult put down the bottle near the middle,0,2,TN,grab bottle,look down,smile,cry,jump
5806747559,1991,640,360,what does the woman do after opening the notes on her hands,0,7,TN,smile,jump,stood up,walk to camera,stands up
9069281283,303,640,360,what does the man in the middle do after climbing up the stairs,0,0,TN,look at camera,walked off,walks in,touched his shoulders,look down
8997865396,2328,640,480,how does the cat react after being tickled for a long time,1,7,TN,look at bird,lift its head up,climb up and touch the screen,turns away,distracted by something
9583453634,1145,640,360,how did the man react after the crocodile open its mouth near him,0,1,TN,ran behind,excited,make it do tricks,lifts up his leg,straighten up his legs
13312922233,1159,640,1138,what did the boy do after putting his finger to his mouth,4,7,TN,bend his back,reach for the airconditioners,move cameras,touch the cat,open his palm
7835628046,1773,640,360,what does the boy do after bending down,0,7,TN,play with toy,performing,lean and look forward,touch man s hoodie,water ride
3227968260,930,640,480,how did the two women react after the woman in stripes released their hand at the start of the video,0,4,TN,start pushing and wrestling,touch her eyes,roll on her back,open her eyes,tilt head forward
6624894833,853,640,360,what does the white car in front do after driving in one lane for a while,3,6,TN,watching the other car,stays still,look at police car,change lane,watch jeep
5558701375,2697,480,640,what does the lady in green do after the girl walks away at the start,4,6,TN,look at camera,she bows twice,push the board away,lie on the ground,follow girl
11049178966,5383,640,360,what does the man do after putting the cup of water down,1,2,TN,stops drinking,start playing the instruments,swirl the drink,smile,closes the tap
3295058818,798,640,480,what did the girl with red headband do after being attacked by the girl with spectacles,1,7,TN,slide down,hit her back,walk towards stairs,pat her head,chase her
10542271055,602,640,360,what did the girl in brown do after the girl in blue pointed at a direction in the middle of the video,3,5,TN,smiles at the baby,run away,pick up something,swing her arms,pick up leaves
5782595661,2161,640,1138,what did the man do after touching the black setup at first,1,6,TN,look at computer,move backwards,smiling,grab the book,eat the jelly
7835844714,1572,640,360,what does the lady in purple do after the boy and the girl in colorful shirt starts running at the end,1,11,TN,dance,walked to wards them,runs with the fog,touch and pat the dog,touch the girl
8692968296,2697,640,360,how does the musician react to the crowd after his performance,4,5,TN,satisfactory,moves away from the microphone,engaged,applaud them,wave hand to the crowd
5461088507,1464,640,480,what does the lady in black do after blowing a kiss to the camera at the end,1,3,TN,laugh and run forward,clap,lift up her leg,touch baby s forehead,move mic to white scarf woman
5500850753,452,640,480,what did the lady in green do after she checked the steam,3,5,TN,raised up both hands,touch the toy,try to pull it open,talk to the people,take out clothes
3443791836,1619,640,480,what does the dog do after the lady finished playing with it,0,5,TN,eat food,happy,raise her hands,give food to girl,follow the action
3894379966,1683,640,360,what does the boy do after looking down at the start,2,6,TN,walks away,sing,bend his back,eating,playing driving game
2824180578,1104,500,375,what does the man beside the orange sign do after a man walks in from the left in the middle,3,6,TN,turn and stand,touch water,talk to the shirtless man,walks away,pat the man on his shoulder
12754064355,750,640,360,what does the boy in stripes do after clapping in the middle,1,6,TN,tired,turn around,move his hands to other chair,laughs back,smiles
4458207675,816,640,360,what did the black dog do after looking at the van for a while,2,3,TN,climb up metal step,wag tail,walked to its left,shifted its body,nod head
2580553233,837,480,360,what did the man do after he sat up from the sofa,4,6,TN,wave,happy,look around,get closer to baby,point microphone away
2399809077,2697,480,360,what did the hen do after the chicks wandered off,4,6,TN,moves the food in her hand,eat food,run to fetch it,flip onto back,look around
3148635011,1300,640,480,what does the boy do after walking for a while at the end,4,8,TN,walk forward,look towards the right,illustrate his points,kiss the boy,pick up something else
9393719235,1417,640,360,what did the lady in black do after the two ladies are done talking,2,6,TN,claps,move mic to white scarf woman,point towards the board,look down and move to bicycle,walks to the boy
9755380174,4261,640,360,what does the girl do after standing up,1,7,TN,looking down at piano keys,wave and dance,pass the stick to the boy,playing with sticks,cry
7072821449,1242,568,320,what did the boy do after he kissed the girl s stomach,2,5,TN,stand up,scratch head,pat her stomach,put it in his mouth,sway his body
2551683435,818,496,370,what happens to the balloon after the man steps on it the first time,0,6,TN,bounce away,towards camera,happy,move boy,remove spectacles
3863283218,1695,640,480,what did the girl do after she touched the string attached to her chair,2,10,TN,drink,jump,point finger,put hand down,put string aside
3953392688,839,320,240,what did the boy in blue tried to do after he saw the boy in green jumped up the bed,0,9,TN,follow the boy in green,run towards the baby,slide down,grab toy,went into the house
2834058581,1173,500,375,what did the girl in purple do after the boy in grey walked away,3,11,TN,stand up,move balloons towards him,step on water hole,she hi-five with man,hug the lady
8698896692,1056,272,480,how do the children react after seeing the lady come out of the kitchen,3,3,TN,goes into tent,play with dogs,continue eating,very happy,mixing ingredients together in bowl
5165840822,1320,640,424,how did the baby react after the person shook the toys hanging above the baby in the middle,2,2,TN,drop it,happy,look at them,jiggle,relaxing
2451862413,2642,500,375,what did the guy in brown do after both ladies knocked the car,1,1,TN,driving off,knock the car,cross the street,adjusting car,jump
10717276603,2028,640,360,what did the boy do after walking to the bells near the end,2,2,TN,pick up the present,sit on the couch,look under the bells,puts it on the table,walk towards the stair
7308772034,2457,640,480,what did the man do after he took the cards out,1,7,TN,in water,dig deeper into box,retrieve the ball,phone,free himself
5912348323,803,320,240,what does the man in dark blue do after pushing the man in white,0,10,TN,goes away,watch the man in white sings,sway his body,run back to position,takes out a camera
6139961286,1034,640,360,what does the lady in front do after looking out of the window,3,8,TN,smiles and waves hand,play with straw in her mouth,stick out her tongue,pull the cover down,wipe her face
2660007586,1104,500,375,what does the lady do after the scooter stops,4,6,TN,a hen,twirl and dance,walks away,look down and move to bicycle,turn keys
2400833408,2178,640,480,what did the baby do after he turned around near the end of the video,3,7,TN,hug boy,flail around,touch the camera,push box to where he started,fall
4599618003,2194,640,480,what does the lady do after the boy fall over,3,11,TN,kick the ball,hold the baby,push herself forward,kneel down,laugh
6521889201,1084,640,360,what does the lady do after the man stands up,0,9,TN,stand behind child,raise her hand,pass the stick to the boy,clap her hand,swerve to the left
3925635978,999,640,480,what is the response of the man after being pointed by two woman in the middle,1,8,TN,hold the girl s hand,laugh and made hand gestures,turn to look,stare at the screen,singing
4316096248,2118,480,640,what did the bride do after receiving the napkins and fork,4,3,TN,feed again,she drinks it,grab and eat it,points at the cereal,feed the man
3736642934,937,640,360,what does the woman in the train do after smiling near the end,3,7,TN,play the piano,touch the chair,move the items on her hands,lean head on her right,toy animal
3250003096,1010,640,480,what did the child do with the diapers after removing it from the doll,0,6,TN,prevent sofa from getting dirty,pick back up,put it down,look at the doll,put on the box
6863047871,772,640,360,what does the girl in green do after finishing pushing the swing,0,10,TN,walk to the side,keeps looking straight,play with hose,kicks again,touch the toy
5942411333,2160,640,360,what does the man in grey do after standing behind the people on stage,0,8,TN,take photos,watch him,playing the ukelele,clap hands,hold poster
8230812947,2697,640,360,what did the birds do after standing still and looking around in the beginning,0,1,TN,start walking around,tightened grip,run forward,bit him,continue eating
6064511468,1146,640,360,what does the dog do at the end after playing with the man,3,5,TN,jump around,carry dog up,stop at the camera,walk away,give treats
5476140602,1794,640,480,what does the white cat do after seeing the brown cat approaches,4,11,TN,lick it,look at black cat,walk towards it,jumped back,runs away
5722872813,1836,640,480,what does the woman do after the girl bows at the end,0,8,TN,point at the music script,hi-five,smiles,jumps up,adjust microphone
4085549820,2250,640,512,what does the driver of the white vehicle do after driving pass the black car at the start of the video,4,4,TN,singing away from the microphone,dive into water,hit man in black s back,pick something up,he reverses and stops
5323579442,1370,640,480,what does the boy do after walking away at the start,0,4,TN,comes back,stand up,sit on the floor,slings his bag across his shoulder,fell down
3495427984,1162,640,480,what did the girl do after she swing her hand in front of her at the beginning of the video,1,4,TN,throw it,touch her eyes,turned behind,look down,look at ground
9472331203,304,640,360,what does the baby do after the lady points at the plant at the start,0,6,TN,squats down,push trolley,sitting by the side,kiss baby,follow baby
7095619943,1679,640,360,what did the boy do after he clapped his hands,2,5,TN,looks at the baby,hold man s hand,looked at his right,touch the cat,push away the toy
9935454173,1197,640,360,what did the black dog do after running for a while,0,5,TN,stop,follow black dog,bite,look at that direction,barked back
7604112162,398,640,360,what did the girl do after she approached the dog,0,4,TN,move backwards,run away,stomp her foot,plays with her,run and jump towards the rule
3049423208,400,500,375,what did the two women in black do after climbing the stairs,4,4,TN,raise both hands,blowing,stands up,run around stage,look at entrance
